variable,n_non_null,min,max,mean,range_min,range_max,n_out_of_range,out_of_range_pct,constant
set_tv,56534,0.09,0.7,0.3857,0,1500,0,0.0,0
spo2_current,84760,41.0,100.0,99.3939,,,,,0
spo2_delta_abs,84760,-59.0,55.0,0.0968,,,,,0
spo2_delta_pct,84760,-0.59,1.2222,0.0014,,,,,0
spo2_n_pts_short,84813,0,5,4.8704,,,,,0
spo2_slope_long,84710,-23.4857,27.0,0.0086,,,,,0
spo2_slope_short,84186,-35.0,48.0,0.0029,,,,,0
spo2_trend_code,84710,-1.0,1.0,-0.0004,,,,,0
staleness_max,54063,0,15424,66.7138,,,,,0
surgery_pct,84813,0.008,0.998,0.464,,,,,0
time_since_induction_sec,84813,-11040,61260,6526.9166,,,,,0
vit_BIS,79617,0.0,97.7,43.4359,0,100,0,0.0,0
vit_DBP,68320,-94.0,347.0,63.1871,0,250,803,1.175,0
vit_EtCO2,70695,0.0,79.0,34.2529,0,150,0,0.0,0
vit_HR,69359,0.0,240.0,87.718,0,300,0,0.0,0
vit_MAP,68509,-70.0,347.0,83.3407,0,250,804,1.174,0
vit_SBP,68323,-70.0,347.0,114.6974,0,300,662,0.969,0
vit_SpO2,72214,41.0,100.0,99.4804,0,100,0,0.0,0
